,First,Second
1818,хана,епигастриума
1819,без,варици.ВОД
1820,варици.ВОД,ет
1821,с,ние.Бледа
1822,ние.Бледа,кожа
1823,Кр,Налягане-NUM
1824,S.ren,[
1825,Визус,ок.декста
1826,ок.декста,Визус
1827,на,АФК
1828,рен,дв.Опорно
1829,дв.Опорно,двигателен
1830,акцентуиран,I-ви
1831,I-ви,тон
1832,на,арт.дорзалис
1833,арт.дорзалис,педис
1834,се,наблюдават
1835,ет,лимфадектомия
1836,без,ектопия
1837,на,вьрха
1838,и,тонус-запазени
1839,на,кръвообръщението
1840,прогресия,с.р.инд.с.ос
1841,с.р.инд.с.ос,запазена
1842,Ч.в.д,Cor
1843,изострено-вез-дишане,леко-уд-екс-без-приб-хрипове-двуст-в-двете-фази-на-дишане
1844,леко-уд-екс-без-приб-хрипове-двуст-в-двете-фази-на-дишане,Cor
1845,слабо-огран,движ-огран
1846,движ-огран,сгьване-в-д-коляно-опер-цик-спокоен
1847,и-вид.лиг,бледи
1848,чисти,без-периорбит-отоци
1849,без-поли-урия,без-полидипсия
1850,неувел,л.в.неув.Пулмо
1851,в-дясно,в-ляво-мамект-тот-цик-спокоен
1852,в-ляво-мамект-тот-цик-спокоен,Корем
1853,Крайници,об-СМРд-липсва
1854,об-СМРд-липсва,ЧМН
1855,ЧМН,без-пат-реф-кси
1856,без-пат-реф-кси,палп-болка-и-огран
1857,палп-болка-и-огран,подв-в-лумб-отдел-на-гр-стьлб
1858,подв-в-лумб-отдел-на-гр-стьлб,по-ка-аналгет-без-пом-с-без-отоци
1859,ЕКГ,запис
1860,норм,разм
1861,разм,и
1862,хипотрофия,на
1863,ч.др-на,ребрен
1864,рект,туше
1865,Д.с-ма.везикуларно,дишане
1866,л,в-б
1867,в-б,о.
1868,пулсации,вен.мрежа
1869,в,шумовата
1870,шумовата,находка
1871,Нервна,система-повърхностен
1872,система-повърхностен,и
1873,вид.лиг.розови,ПЛВ
1874,et,Lien-неувеличени
1875,ЛАМ,не
1876,на,храносмилателната
1877,храносмилателната,система
1878,сърд,дейностглуховати
1879,дейностглуховати,тонове
1880,Ч.Др,и
1881,без,oрганомегалия
1882,oрганомегалия,перисталтика
1883,ССС,РИТМ.ЛЕКО
1884,РИТМ.ЛЕКО,ТАХИКД
1885,НЕВР,СТ-ЛЕКА
1886,СТ-ЛЕКА,СТАТ.АТАКСИЯ
1887,ПО,ТИПА
1888,ТИПА,НА
1889,без,ЕS
1890,ЕS,без
1891,б.о,Гърди-спокойни
1892,ППС-бо,SR-отр
1893,запазени,пулсацци
1894,за,самоконтр
1895,Физ,Р-тие
1896,Р-тие,Нормално
1897,СДпр.ритм.Fr,мин
1898,неболезнен,Чдр
1899,ясни,тонаве
1900,генерализирано,снижени
1901,без,ортаномегалия
1902,ортаномегалия,перисталтика
1903,болезнено,навеждаве
1904,навеждаве,и
1905,Дихателна,система-б
1906,дясно,подр
1907,поведението,емоциите
1908,емоциите,мисленето
1909,мисленето,волята
1910,волята,интелекта
1911,интелекта,вниманието
1912,паметта,влеченията
1913,влеченията,съня
1914,и,съзнанието
1915,съзнанието,КОРЕМ
1916,АЛО,и
1917,и,АВТО
1918,АВТО,ориентиран
1919,в,S-T
1920,S-T,сегмента
1921,палпират,уголемени.SR
1922,уголемени.SR,двустранно
1923,за,екзо
1924,сухи,св.хрипчета
1925,св.хрипчета,двустранно
1926,от,аа.поплитее
1927,аа.поплитее,без
1928,неув.норм,псих
1929,се,палпиа
1930,NUM.АН,NUM.Корем
1931,с-ние.Контактен,ориентиран
1932,EKГв,норма
1933,и,начина
1934,начина,на
1935,НС-намалена,мускулна
1936,б.о,Млеяни
1937,Млеяни,жлези
1938,крайниците-запазени,по
1939,полиневритен,тип.Нарушен
1940,тип.Нарушен,вибрационен
1941,Сук,рен-отр.Корем
1942,НС-хипестезия,на
1943,напрегната,паравертабрална
1944,паравертабрална,мускулатура
1945,болезненост,паравертабрално
1946,паравертабрално,по
1947,лиен,неув.Сук.ренал
1948,неув.Сук.ренал,стр.ОДА
1949,лиен,неужеличен
1950,Дихателна,система-ясно
1951,първично,зоздравял
1952,зоздравял,на
1953,лични,причини-документите
1954,причини-документите,се
1955,НАЧАЛНИ,НУКЛЕОКОРТИКАЛНИ
1956,НУКЛЕОКОРТИКАЛНИ,ПОМЪТНЯВАНИЯ
1957,ПОМЪТНЯВАНИЯ,НА
1958,НА,ЛЕЩАТА
1959,мл,жл-протеза
1960,жл-протеза,корем
1961,оргамегалия,без
1962,без,органомегалоия
1963,органомегалоия,Крайници
1964,Усп,очни
1965,Сук.реналис,бил.Без
1966,бил.Без,отоци
1967,отр,кетотела-отр.рн-NUM
1968,предвижва,се
1969,на,вмидима
1970,вмидима,възраст
1971,Щитовидна,жл.ПЛВ
1972,жл.ПЛВ,б.о
1973,жл.неувеличена,с
1974,крайници,нам.муск.сила
1975,нам.муск.сила,за
1976,см,Екхимози
1977,Екхимози,по
1978,видимо,неув.Pulmo
1979,Fr,глиховати
1980,глиховати,сърдечни
1981,гр.С.Cor-Ритмична,сърдечна
1982,ДОС.ДС-вез.диш,отслабено
1983,с-е-без,отклонение
1984,дискр,отоци
1985,пер.а.а,вибр
1986,АДЕКВ,ОРИЕНТ
1987,б.о,Рефлекторна
1988,Рефлекторна,дейност
1989,І-ва,степ.Сърце
1990,степ.Сърце,ритм
1991,вен.съдове,и
1992,І-ва,ст.Сърце
1993,ст.Сърце,ритм.дейност
1994,общо,състояниа
1995,състояниа,Пулмо
1996,и,П.Л.В.не
1997,П.Л.В.не,се
1998,повишено,ВЧН
1999,ІІ,С.Т
2000,над,м.Зрение
2001,м.Зрение,очи-здрави
2002,очи-здрави,намалено
2003,реналис-отр.Ч,дроб
2004,тонове,ясни.ЕКГ
2005,ясни.ЕКГ,син
2006,и,Ерб.Хепар
2007,Ерб.Хепар,неув
2008,съдово,заболяне
2009,заболяне,на
2010,НА,ТАЛИЯТА-NUM
2011,мл,ж-за.АН
2012,пмт-умерено,изразена
2013,и,дълбо
2014,фр,м.глухи
2015,м.глухи,тонове
2016,Невролоичен,статус
2017,Succ,renal
2018,renal,отр
2019,сухожилнонадкостни,рефлекси
2020,дишане,удълженескпириум
2021,удълженескпириум,сухи
2022,с,негова
2023,негова,корекция
2024,зачервено,шнуровидно
2025,шнуровидно,уплътннение
2026,уплътннение,на
2027,на,vv.saphena
2028,vv.saphena,magna
2029,magna,et
2030,RR,P=
2031,ед,еx
2032,еx,без
2033,соr,аритмична
2034,корд,проби-норма
2035,проби-норма,Бабински
2036,дясно,нистагам
2037,нистагам,хоризонтале
2038,разш,вени.Палп.болка
2039,лимф.възли,неув.Псих
2040,неув.Псих,статус
2041,увеличени,Сук.ренали
2042,Сук.ренали,отр
2043,нормофреквантна,дейност
2044,f-NUM,уд
2045,нерепонибилна,вляво
2046,нехочкинов,лимфом
2047,се,повлияват
2048,опашната,кост
2049,измерване,на
2050,на,ГС
2051,нарастване,на
2052,Хипертрофия,на
2053,общо,с-ние.Без
2054,Подготовка,за
2055,половите,органи
2056,ехографско,изследване
2057,В,СЪЩАТА
2058,се,нормализира
2059,нормализира,след
2060,след,взимане
2061,взимане,на
2062,на,временната
2063,временната,нетрудоспособност
2064,генитално,кървене
2065,срок,на
2066,края,на
2067,на,инсулинолечение
2068,гласни,връска
2069,връска,вдясно
2070,кървави,храчки-храни
2071,храчки-храни,се
2072,със,течна
2073,течна,храна
2074,чрез,назо-гастрална
2075,назо-гастрална,сонда
2076,злок.заболяване,на
2077,МНН,с
2078,Лична,анамнеза
2079,започване,на
2080,изключване,на
2081,Заплануван,за
2082,на,черепа
2083,на,тъпанчето
2084,пикучен,мехур
2085,неубедителни,данни
2086,в,Урологично
2087,С-ние,след
2088,с,давностна
2089,давностна,АХ
2090,и,огр.дв-я
2091,с,НСПВС
2092,движение,схванатост
2093,безплатна,рецепта
2094,Каса,е
2095,неповлияваща,се
2096,Изведен,анус
2097,Периартрит,на
2098,се,по-спокойна
2099,нормализирани,с-ти
2100,заболявания,ХЛЛ.За
2101,Ежеседмични,планови
2102,върху,тях.Не
2103,тях.Не,споделя
2104,и,актуални
2105,актуални,опраквания
2106,ПОЯВА,НА
2107,ЦА,КОЛОНИС
2108,се,открива
2109,получаване,на
2110,по,чл
2111,чл,ал
2112,проекционното,място
2113,СОР,РСД
2114,и,похдка
2115,похдка,нормални
2116,нормални,сухажилни
2117,сухажилни,рефлекси
2118,Тазоворезервоарни,промени
2119,промени,несъобщава
2120,в,мислвната
2121,мислвната,дейност
2122,хепар-NUM,см
2123,Без,ех.Тонове
2124,т-ве,RR
2125,Лим.възли,б.о
2126,ст-норма,Иследване
2127,Иследване,острота
2128,общо,състояние.ПЛВ
2129,състояние.ПЛВ,нуевеличени
2130,Cукк.реналис,Крайници
2131,слъзна,секреция
2132,норма,вкл.Ахилови
2133,вкл.Ахилови,рефлекси
2134,и,социалния
2135,на,изтласкване
2136,лиен-неувеличени,oтр
2137,дъга.крайници,без
2138,без,тоци
2139,б.о,Дих.система-ЧВД
2140,Дих.система-ЧВД,ССС
2141,Ротаторна,проба
2142,перкуторни,граници.RR
2143,граници.RR,Корем
2144,и,автономни
2145,автономни,прояви
2146,стени,Чр.дроб
2147,патологични,измения
2148,АН,Деформация
2149,без,физ.данни
2150,физ.данни,за
2151,Сук,Рен.
2152,гърда-частична,резекция
2153,кето-тела-отр,уроб
2154,уретрален,катетър
2155,с,ние.Наличие
2156,ние.Наличие,на
2157,на,конюктивата
2158,соr-ритм.сърд.дейност,Fr-NUM
2159,Пулмо,везикурапно
2160,д-т,глуховаги
2161,глуховаги,тонове
2162,RR,фр.около
2163,фр.около,уд
2164,неув.Щит,жл
2165,Сукусио,реналис-положително
2166,зап.общо,съст.Дих
2167,съст.Дих,с-ма
2168,а.,Тибиалис
2169,Тибиалис,постериор
2170,се,снеме
2171,без,пр.хрипове
2172,царевично,зърно
2173,на,гр.кош.Ч.дроб
2174,и,вдими
2175,вдими,лигавици
2176,пъпа.Черен,дроб
2177,по,глезениете
2178,на,стомата.SR
2179,стомата.SR,billat
2180,Съвети,за
2181,засегнато,общо
2182,Переферни,вени
2183,везикуларна,дишане
2184,кл.данни,за
2185,палпира,ув.Лимф.възли
2186,ув.Лимф.възли,не
2187,bill.Крайници,ЛРС
2188,на,III-IV-V
2189,III-IV-V,пръсти
2190,перкуторен,тон.Мл.жл
2191,тон.Мл.жл,мамектомиа
2192,вестибуло-атактичен,с-м
2193,кокартроза,sin
2194,см,Изчислен
2195,Изчислен,е
2196,е,NUM-год
2197,NUM-год,риск
2198,анкетна,карта
2199,карта,Корем
2200,б.о,Мл.Жлези
2201,Намаление,на
2202,сърд,дейост
2203,дейост,RR
2204,Макуло-папулозен,обрив
2205,dex.VOD,VOS
2206,тоновете,са
2207,RR,DATEКорем
2208,отр,дв.Невр
2209,дв.Невр,ст
2210,сърдена,дейност
2211,половини,взематеднакво
2212,взематеднакво,участие
2213,поради,отсъствие
2214,невролог,год.неврологичен
2215,год.неврологичен,статус
2216,с,кардиолог-NUM
2217,с,офталмологза
2218,офталмологза,очни
2219,очни,дъна-на
2220,дъна-на,год.и
2221,АМПУТАЦИЯ,НА
2222,в,основите.Корем
2223,Долавя,шепотна
2224,общо,с-е.Pulmo
2225,корегирано,с
2226,Уведомен,съм
2227,тон.Cor,РСД
2228,ГИНЕКОЛОГИЧЕН,СТАТУС
2229,се,палпир
2230,RR,PS
2231,PS,Pulmo
2232,сърд.ч,RR
2233,ППС-в,норма
2234,на,aa
2235,сутрешни,часове
2236,общо,състояния
2237,подагрозен,артрит
2238,Ритмична,отчетлива
2239,отчетлива,сърдечна
2240,Корем,мек.не
2241,мек.не,болезнен
2242,реналис,Нерв.с-ма
2243,общо,съст-е.Псих.с-с
2244,с-ма,норм.микция
2245,за,уточн
2246,ритм,Нормофрекв
2247,МРД-отр,ПЛП-отр
2248,систуличен,шум
2249,б.о,pulmo-везикуларно
2250,ритм.добре,напълнен
2251,близо,Дишане-с
2252,Дишане-с,норм
2253,в,дихателния
2254,гръден,кош.Бял
2255,БОЛНИЧНО,ЛЕЧЕНИЕ
2256,меланоцитен,невус
2257,на,л.ръка
2258,пер,примам
2259,с.ч,у.м.Грубо
2260,у.м.Грубо,везикуларно
2261,на,аа.педис
2262,ПУЛСАЦИЙ,НА
2263,двиг.дейност,в
2264,нам,ммсила
2265,ммсила,за
2266,нарушения,подист
2267,подист,тип
2268,ПАЛ,ПАТОР
2269,ЛАСЕГ,ВЕР
2270,ВЕР,ТЕБРАЛЕН
2271,ТЕБРАЛЕН,СИН
2272,СИН,ДРОМ
2273,едър,тремор
2274,ССС,Б.О
2275,И,ЩЕЛВАГ
2276,ЩЕЛВАГ,ОТР
2277,се,доловижа
2278,доловижа,уплътнени
2279,ритъм-предоставено,на
2280,тонове,ясни.RR
2281,краката,стъпалатга
2282,стъпалатга,В
2283,на,гълрба
2284,гълрба,на
2285,по,скалата
2286,скалата,на
2287,на,Левин
2288,Левин,RR
2289,дясно,око.RR
2290,око.RR,на
2291,НА,СТЪПАЛА
2292,СТЪПАЛА,Онихомикоза
2293,Корем,еко-еластични
2294,еко-еластични,стени
2295,отр,Билируб
2296,Билируб,отр
2297,бе,зотоци
2298,последни,ребра
2299,видимилигавици,роозви
2300,роозви,Общо
2301,Lien,неуголеемни
2302,неуголеемни,SR
2303,и,щит.жлеза.
2304,щит.жлеза.,ЧВД
2305,вени.Псих.статус,психомотор
2306,Оепратиен,цикатрикс-спокоен
2307,Маринеску,Радович
2308,Пулмо,везикурарно
2309,везикурарно,дишане
2310,на,бутончето
2311,Cor-ар,С.
2312,Fr,in
2313,in,RR
2314,ЛМЖ,ДМЖ-белег
2315,ДМЖ-белег,от
2316,сл.неув.Сук.рен,отр.дв.Кр
2317,отр.дв.Кр,без
2318,запазени,пулс.Психичен
2319,пулс.Психичен,статус
2320,Виз.ОС-NUM,ОД-NUM
2321,мин.Млечни,жлези
2322,Cor-арит,Сърд
2323,без,шумованаходка
2324,с,хар.изм-я
2325,добра,напълненост
2326,напълненост,и
2327,дейност,ТОНОВЕ-ЯСНИ
2328,по,средивнната
2329,средивнната,линия
2330,ХОРИЗОНТАЛЕН,НИСТАГЪМ
2331,Щит.жл.не,се
2332,V.,O.
2333,Rubeosis,diabetica
2334,diabetica,няма
2335,без,разязвянания
2336,разязвянания,без
2337,дв,Н.с-ма
2338,похода,на
2339,на,долн
2340,периферните,алтерии
2341,Лицето,е
2342,трахеостома,Глас-шепти
2343,Издаване,на
2344,ХСМ,Кр-ци-без
2345,Тахиритмична,сърдечна
2346,срединна,лапаратомия
2347,на,вале
2348,по,Кохер
2349,Пулмо,ЧВД.Корем
2350,изразена,под.маст.т.Пулмо
2351,с,неудължено
2352,неудължено,издишване
2353,Р.туше-без,патология
2354,Подбедрица,без
2355,без,ШВЗRR
2356,определяне,на
2357,ЛВ-неув.Пулмо,чисто-везик
2358,Fr,Мл.жл.норм
2359,Мл.жл.норм,вьз
2360,вьз,струк
2361,перист-физ,хепар-неувел
2362,СМРД-липсва,ЧМН
2363,л.в.неув.Пулмо,отсл-вез.дишане-леко-уд-експ-без-хрипове
2364,отсл-вез.дишане-леко-уд-експ-без-хрипове,Cor
2365,бил,опер.цик-спокоен
2366,сгьване-в-д-коляно-опер-цик-спокоен,щад-походка-СМРД-липсва
2367,щад-походка-СМРД-липсва,ЧМН
2368,без-полидипсия,няма-повиш-прием-на-течности-не-става-нощем-редуц-оплак-от-нощтни-крампи
2369,зап-общо-сьстояние,без-оплак-от-поли-урия
2370,без-оплак-от-поли-урия,поли-дипсия
2371,без-повиш-прием-на-течности-в-меноп-от-NUM,г-вьзр-след-опер-СА-NUM
2372,енук.д-око-меланом-протеза-NUM,г
2373,г,посл-хос-ВО-NUM
2374,огран,подвиж-в-шиен-и-торак-отдел-на-гр-стьлб-напрег-паравертеб-мускул
2375,Fr,Мл.жл.норм.за
2376,Мл.жл.норм.за,вьзр.структ
2377,в,урината-отр
2378,и,вид.л-ци
2379,Дихателна,система-везикуларно
2380,система-везикуларно,дишане
2381,мек,ч.др-на
2382,отр,Координация-в
2383,Координация-в,норма
2384,Острота,назрение
2385,назрение,б.о
2386,муск,атрофии
2387,атрофии,и
2388,уд,мив
2389,мив,RR
2390,ссс-ритм-на,нормофр-на
2391,нормофр-на,д-ст
2392,б-о,ТРФ
2393,ТРФ,б.о
2394,реналис,отр.Повърхностни
2395,отр.Повърхностни,вени
2396,мастектомия.Корем,б.о
2397,Пулмо,везикулрно
2398,везикулрно,дишане
2399,заздравява,първично
2400,Пер.лимфни,възли
2401,щит,жл.неувеличени
2402,дъга,отоци-леко
2403,отоци-леко,изразени
2404,на,ретината
2405,б.о,ЛАМ
2406,Струма-NUM,ст
2407,симет,добре
2408,палп,увел.Опор.двиг
2409,увел.Опор.двиг,апарат
2410,СЪРЦЕ,Р.С.д
2411,общо,с-е.Афебрилна
2412,изразена,ПМТ.Лигавици
2413,изразена,бледност
2414,см,Психологичен
2415,Психологичен,статус
2416,външно,дишане-ДЧ
2417,дишане-ДЧ,м.
2418,м.,дълбочина-нормална
2419,С.статус,Cor
2420,кожи,и
2421,СТАТИЧНА,АТАКСИЯ
2422,РОМБЕРГ-ЗАЛИТА,В
2423,В,НЕОПР
2424,за,диск
2425,диск,лумбалис
2426,В,ЛЕГЛОТО
2427,проекцията,на
2428,дефицит,дължащ
2429,дължащ,се
2430,на,невр.промени
2431,невр.промени,във
2432,Мл,жкл-в
2433,жкл-в,горен
2434,външен,ъгъл-подв.уплътнение
2435,пр,ритм.лек
2436,ритм.лек,сист
2437,Корем,hepар
2438,RR,чдр.на
2439,St.,gynecologicus
2440,Нераг,на
2441,нормален,вибразионен
2442,вибразионен,усет
2443,ст-мрд,отр
2444,без,отклов
2445,на,ренална
2446,ренална,и
2447,прибавени,шумове-няма
2448,ПЛВ-неувеличени,Дс-отслабено
2449,Задавилтелно,общо
2450,два,бастуна
2451,стени,Чдроб
2452,Корем,мекио
2453,мекио,еластични
2454,частично,рзецирана
2455,рзецирана,лява
2456,за,перитонелано
2457,перитонелано,дразнене
2458,отр.С,постянен
2459,постянен,уринарен
2460,запазени,ПАП.С
2461,ДВЕТЕ,КОЛЕНА
2462,на,ребренната
2463,ребренната,дъга
2464,ДВАТА,КРАКА
2465,глухи,с.т.акц.А
2466,с.т.акц.А,АН
2467,гръден,кош.Пулмо
2468,КОЖА,норм.оцв
2469,СТ,АНDATEФР
2470,АНDATEФР,Крайници
2471,правилни,зрит.остр.норм
2472,зрит.остр.норм,щит.жл.неув.ало
2473,далак,неув.сук.рен.отр.Крайници
2474,Корем,б.олипсва
2475,б.олипсва,обстипация
2476,тактилна,чувсв
2477,вид.разширени,вени.Афебрилен
2478,сухи,хърк.двустр
2479,хърк.двустр,Cor
2480,палпиа,Сок.реналис
2481,при,палпаци
2482,Щит,жлеэа-б.о
2483,жлеэа-б.о,ЛВ
2484,др,неув.СР
2485,неув.СР,отр
2486,се,палп.Suc.ren
2487,Псих.ст.норм.за,възр.ПЛВ
2488,възр.ПЛВ,неувел
2489,двустранно,неболзнено
2490,неболзнено,крайници
2491,СНР-стилорадиална,пателарна
2492,Вербален,синдром
2493,SR,BIL
2494,BIL,ОДА
2495,хиперсонорен,п.тон
2496,п.тон,отслабено
2497,норм.пулс,на
2498,паретичен,синдром
2499,перк,Тон
2500,с,п.м.на
2501,п.м.на,сърдечния
2502,проведена,лъчетер-я
2503,лъчетер-я,на
2504,щит,жл-NUM
2505,жл-NUM,ст
2506,кожа,чупливи
2507,чупливи,нокти
2508,пер.в,б.о
2509,няма,мкавучкане
2510,чисто,В.Д.С.С.С
2511,ма-Р.С.Д,R
2512,РСД,сясни
2513,сясни,тонове
2514,НС,дискорд
2515,Р.Д,Крайници
2516,Ген.с-ма,и
2517,без,патолг
2518,б.о,Опор
2519,Опор,двиг
2520,д.,V.ос
2521,V.ос,sin
2522,ССС,ритм.сърд.дейнос
2523,ритм.сърд.дейнос,т
2524,в,двити
2525,двити,белодробни
2526,ет,лиев
2527,лиев,неув
2528,Pujmo-Чисто,вез
2529,Hepar,Lien-Не
2530,Lien-Не,увел
2531,пукащи,хрипове
2532,БЕЗ,ОБРИВИ
2533,сърдечна,деаност
2534,деаност,ясни
2535,Об.ДОС,ДС
2536,б.о,COR-РСН
2537,COR-РСН,RR
2538,палп,увел.SR-двустранно
2539,увел.SR-двустранно,отрицателно
2540,ляв,тип.Невр
2541,тип.Невр,статус
2542,Лексотан,т
2543,за,СА.Дих.система
2544,СА.Дих.система,везикуларно
2545,отоци,Неврологг
2546,мм,Нг.Корем
2547,Нг.Корем,мек
2548,кг.ЧМН,б.о
2549,долни,крайника-NUM
2550,Кожа,бледомург
2551,вибр,усет-норма
2552,Цветоусещоне,б.о
2553,ХД,показатели
2554,Аортен,тон
2555,палпират,Нервно-псих
2556,Нервно-псих,и
2557,ляв,тип.Везикуларно
2558,тип.Везикуларно,дишане
2559,се,определя
2560,тотална,хистеро
2561,Ко,рем
2562,мисловно,подредена
2563,подредена,еутимна
2564,хрипова,нваходка
2565,се,палп.ДС-норм
2566,палп.ДС-норм,гр
2567,ПАЦ,НА
2568,Д.Р.дъга,дъга.КРАЙНИЦИ
2569,CYBOW,б.о
2570,ЗРИТЕЛНА,ОСТРОТА-NUM
2571,Корем,м.е.стени
2572,м.е.стени,без
2573,о.а,пром
2574,чисто,везикуларнор
2575,везикуларнор,дишане
2576,ТАЗОВИ,РЕЗЕРВОАРИ
2577,КООРДИН,ПРОБИ
2578,СИМЕТРИЧЕН,ГРАДЕН
2579,Гин.ст.нормален,за
2580,двустр.Сетивност,съхранена
2581,на,гр-
2582,гр-,кош
2583,ет,лиен-бо
2584,лиен-бо,Сукк
2585,ДПНП,CHP-намалени
2586,CHP-намалени,дист
2587,OДА-в,норма
2588,Тегло,кг.Бял
2589,кг.Бял,дроб
2590,ССС,ритм.с.д.р
2591,ритм.с.д.р,СЧ-NUM
2592,НА,РЕБР.ДЪГА.КРАЙНИЦИ
2593,РЕБР.ДЪГА.КРАЙНИЦИ,ОТОК
2594,ЛЯВА,ПОДБЕДР
2595,дребно-зърниста,структура
2596,лиен,неувеличеи
2597,тонаве,къс
2598,НС-Без,сетивно-рефлекторен
2599,сетивно-рефлекторен,полиневритен
2600,Труден,диалог
2601,диалог,поради
2602,след,опарация
2603,опарация,на
2604,краъници,интактно
2605,интактно,краво
2606,краво,обръщение
2607,за,поливеропатия
2608,единични,доп.сухи
2609,психични,проблеми-тревожност
2610,проблеми-тревожност,фобии
2611,се,визуализираха
2612,б.о,ЗРИТ
2613,ЗРИТ,ОСТРОТА
2614,Аорта,RRDATEХепар
2615,RRDATEХепар,на
2616,тонзили,инебни
2617,инебни,дъги
2618,отслабено,восновите
2619,палпация,Запозната
2620,Запозната,с
2621,с,правилата
2622,правилата,за
2623,сук,рено.отр
2624,вез.дишане,Cor-ритм.сърд.д
2625,Cor-ритм.сърд.д,фр
2626,ren,отр-двустр
2627,жлеза,снормални
2628,снормални,размери
2629,хоризонтала,sucusio
2630,sucusio,renalis-otp
2631,ЛЕКО,ОЖИВЕНИСУХОЖИЛНИ
2632,ОЖИВЕНИСУХОЖИЛНИ,РЕФЛЕКСИ
2633,в,ДТБС
2634,Gl.Thireoid,ПЛВ
2635,Нормопсихичен,КОРЕМ
2636,пакети,РВ
2637,visus,oculi
2638,везикуларно,дошане
2639,дошане,Cor
2640,Цигари-NUM,Алкохол-умерено
2641,Сук,реналиснеболезнен
2642,реналиснеболезнен,двустранно
2643,лява,белодрбна
2644,белодрбна,основа
2645,ЕКГ,ХОРИЗОНТ
2646,ХОРИЗОНТ,ПОЗИЦИЯ
2647,лява,ръка.Крайници
2648,ръка.Крайници,нормални
2649,УНГърло,б.о
2650,отоци,хипоорефлексия
2651,феморално,херни
2652,херни,я
